example wave
                                     -- fourier and inverse transforms --
    m    data      k    fourier transform : real-imag amp-phase    inverse transform

    0    5.000     0    -5.000     0.000       5.000    -0.000       5.000     0.000
    1   32.000     1     2.457    22.777      22.910     1.463      32.000    -0.000
    2   38.000     2    22.317    37.337      43.498     1.032      38.000    -0.000
    3  -33.000     3    47.912    38.312      61.346     0.675     -33.000     0.000
    4  -19.000     4    70.785    25.085      75.098     0.341     -19.000     0.000
    5  -10.000     5    83.819     1.987      83.842     0.024     -10.000     0.000
    6    1.000     6    83.982   -23.471      87.200    -0.273       1.000     0.000
    7   -8.000     7    73.467   -43.835      85.551    -0.538      -8.000    -0.000
    8  -20.000     8    58.447   -55.092      80.319    -0.756     -20.000    -0.000
    9   10.000     9    45.750   -58.497      74.263    -0.907      10.000     0.000
   10   -1.000    10    38.968   -59.630      71.234    -0.992      -1.000    -0.000
   11    0.000    11    36.167   -64.811      74.220    -1.062      -0.000     0.000
   12    0.000    12    30.860   -76.674      82.651    -1.188      -0.000    -0.000
   13    0.000    13    16.106   -91.580      92.985    -1.397       0.000     0.000
   14    0.000    14   -10.392  -100.855     101.389     1.468       0.000    -0.000
   15    0.000    15   -43.434   -95.684     105.081     1.145      -0.000    -0.000
   16    0.000    16   -72.000   -73.000     102.533     0.792       0.000    -0.000
   17    0.000    17   -85.049   -38.583      93.391     0.426       0.000     0.000
   18    0.000    18   -78.224    -4.901      78.377     0.063      -0.000     0.000
   19    0.000    19   -57.126    15.607      59.220    -0.267      -0.000    -0.000
   20    0.000    20   -34.600    17.895      38.953    -0.477       0.000     0.000
   21    0.000    21   -23.213     7.556      24.412    -0.315       0.000    -0.000
   22    0.000    22   -27.486    -2.546      27.604     0.092      -0.000     0.000
   23    0.000    23   -40.980    -0.474      40.983     0.012      -0.000     0.000
   24    0.000    24   -50.447    16.908      53.205    -0.323       0.000     0.000
   25    0.000    25   -44.592    41.673      61.033    -0.752      -0.000     0.000
   26    0.000    26   -21.724    59.874      63.693    -1.223       0.000    -0.000
   27    0.000    27     8.879    60.708      61.353     1.426       0.000     0.000
   28    0.000    28    32.955    43.654      54.696     0.924       0.000     0.000
   29    0.000    29    40.594    18.715      44.700     0.432      -0.000     0.000
   30    0.000    30    32.558    -0.449      32.562    -0.014       0.000    -0.000
   31    0.000    31    19.242    -5.774      20.090    -0.292      -0.000     0.000
   32    0.000    32    13.000     0.000      13.000     0.000       0.000    -0.000
   33    0.000    33    19.242     5.774      20.090     0.292       0.000     0.000
   34    0.000    34    32.558     0.449      32.562     0.014       0.000     0.000
   35    0.000    35    40.594   -18.715      44.700    -0.432       0.000    -0.000
   36    0.000    36    32.955   -43.654      54.696    -0.924       0.000     0.000
   37    0.000    37     8.879   -60.708      61.354    -1.426       0.000     0.000
   38    0.000    38   -21.724   -59.874      63.693     1.223       0.000    -0.000
   39    0.000    39   -44.592   -41.673      61.033     0.752       0.000    -0.000
   40    0.000    40   -50.447   -16.908      53.205     0.323       0.000     0.000
   41    0.000    41   -40.980     0.474      40.983    -0.012      -0.000     0.000
   42    0.000    42   -27.486     2.546      27.604    -0.092       0.000    -0.000
   43    0.000    43   -23.213    -7.556      24.412     0.315       0.000     0.000
   44    0.000    44   -34.600   -17.895      38.953     0.477      -0.000     0.000
   45    0.000    45   -57.126   -15.607      59.220     0.267       0.000     0.000
   46    0.000    46   -78.224     4.901      78.377    -0.063      -0.000     0.000
   47    0.000    47   -85.049    38.583      93.391    -0.426       0.000     0.000
   48    0.000    48   -72.000    73.000     102.533    -0.792       0.000    -0.000
   49    0.000    49   -43.434    95.684     105.081    -1.145       0.000    -0.000
   50    0.000    50   -10.392   100.855     101.389    -1.468       0.000    -0.000
   51    0.000    51    16.106    91.580      92.985     1.397       0.000    -0.000
   52    0.000    52    30.860    76.674      82.651     1.188       0.000    -0.000
   53    0.000    53    36.168    64.811      74.220     1.062       0.000     0.000
   54    0.000    54    38.968    59.630      71.234     0.992      -0.000    -0.000
   55    0.000    55    45.750    58.497      74.263     0.907       0.000    -0.000
   56    0.000    56    58.447    55.092      80.319     0.756       0.000    -0.000
   57    0.000    57    73.467    43.835      85.551     0.538       0.000    -0.000
   58    0.000    58    83.982    23.471      87.200     0.273      -0.000     0.000
   59    0.000    59    83.819    -1.987      83.842    -0.024       0.000    -0.000
   60    0.000    60    70.785   -25.085      75.098    -0.341      -0.000    -0.000
   61    0.000    61    47.912   -38.312      61.346    -0.675       0.000     0.000
   62    0.000    62    22.317   -37.337      43.498    -1.032       0.000     0.000
   63    0.000    63     2.457   -22.777      22.910    -1.463      -0.000     0.000

     analytic function
       m     real       imag       amp     phase

       0     5.000   -12.118     6.554   -67.578
       1    32.000   -15.301    17.735   -25.555
       2    38.000    43.578    28.910    48.912
       3   -33.000    39.683    25.806   -50.254
       4   -19.000    -7.451    10.204    21.414
       5   -10.000     0.245     5.002    -1.405
       6     1.000    -6.339     3.209   -81.035
       7    -8.000    14.744     8.387   -61.515
       8   -20.000   -14.879    12.464    36.647
       9    10.000   -10.597     7.285   -46.659
      10    -1.000     2.660     1.421   -69.399
      11    -0.000    -3.613     1.806    90.000
      12     0.000    -0.277     0.138   -90.000
      13     0.000    -1.682     0.841   -90.000
      14     0.000    -0.484     0.242   -90.000
      15    -0.000    -1.022     0.511    90.000
      16     0.000    -0.464     0.232   -90.000
      17     0.000    -0.705     0.353   -90.000
      18    -0.000    -0.409     0.205    90.000
      19     0.000    -0.530     0.265   -90.000
      20     0.000    -0.354     0.177   -90.000
      21     0.000    -0.424     0.212   -90.000
      22     0.000    -0.303     0.152   -90.000
      23    -0.000    -0.358     0.179    90.000
      24     0.000    -0.259     0.129   -90.000
      25    -0.000    -0.316     0.158    90.000
      26    -0.000    -0.219     0.110    90.000
      27     0.000    -0.290     0.145   -90.000
      28    -0.000    -0.184     0.092    90.000
      29     0.000    -0.275     0.137   -90.000
      30     0.000    -0.153     0.076   -90.000
      31    -0.000    -0.268     0.134    90.000
      32    -0.000    -0.124     0.062    90.000
      33     0.000    -0.268     0.134   -90.000
      34     0.000    -0.097     0.048   -90.000
      35     0.000    -0.274     0.137   -90.000
      36    -0.000    -0.072     0.036    89.999
      37    -0.000    -0.285     0.143    90.000
      38    -0.000    -0.048     0.024    90.000
      39     0.000    -0.302     0.151   -90.000
      40     0.000    -0.026     0.013   -90.000
      41     0.000    -0.326     0.163   -90.000
      42     0.000    -0.004     0.002   -89.999
      43     0.000    -0.356     0.178   -90.000
      44     0.000     0.016     0.008    89.999
      45     0.000    -0.397     0.198   -90.000
      46    -0.000     0.035     0.018   -89.999
      47    -0.000    -0.450     0.225    90.000
      48    -0.000     0.052     0.026   -89.999
      49     0.000    -0.520     0.260   -90.000
      50     0.000     0.065     0.033    89.998
      51    -0.000    -0.617     0.308    90.000
      52     0.000     0.071     0.035    89.999
      53    -0.000    -0.753     0.376    90.000
      54    -0.000     0.062     0.031   -89.999
      55     0.000    -0.956     0.478   -90.000
      56    -0.000     0.020     0.010   -89.999
      57     0.000    -1.281     0.641   -90.000
      58    -0.000    -0.101     0.050    89.999
      59     0.000    -1.862     0.931   -90.000
      60     0.000    -0.454     0.227   -90.000
      61    -0.000    -3.116     1.558    90.000
      62     0.000    -1.744     0.872   -90.000
      63    -0.000    -7.529     3.765    90.000

     white spectrum
       m     real       imag       amp     phase

       0    -0.500     0.000     0.500    -0.000
       1     0.107     0.994     1.000     1.463
       2     0.513     0.858     1.000     1.032
       3     0.781     0.625     1.000     0.675
       4     0.943     0.334     1.000     0.341
       5     1.000     0.024     1.000     0.024
       6     0.963    -0.269     1.000    -0.273
       7     0.859    -0.512     1.000    -0.538
       8     0.728    -0.686     1.000    -0.756
       9     0.616    -0.788     1.000    -0.907
      10     0.547    -0.837     1.000    -0.992
      11     0.487    -0.873     1.000    -1.062
      12     0.373    -0.928     1.000    -1.188
      13     0.173    -0.985     1.000    -1.397
      14    -0.102    -0.995     1.000     1.468
      15    -0.413    -0.911     1.000     1.145
      16    -0.702    -0.712     1.000     0.792
      17    -0.911    -0.413     1.000     0.426
      18    -0.998    -0.063     1.000     0.063
      19    -0.965     0.264     1.000    -0.267
      20    -0.888     0.459     1.000    -0.477
      21    -0.951     0.310     1.000    -0.315
      22    -0.996    -0.092     1.000     0.092
      23    -1.000    -0.012     1.000     0.012
      24    -0.948     0.318     1.000    -0.323
      25    -0.731     0.683     1.000    -0.752
      26    -0.341     0.940     1.000    -1.223
      27     0.145     0.989     1.000     1.426
      28     0.603     0.798     1.000     0.924
      29     0.908     0.419     1.000     0.432
      30     1.000    -0.014     1.000    -0.014
      31     0.958    -0.287     1.000    -0.292
      32     0.500     0.000     0.500     0.000
      33     0.000     0.000     0.000       NaN
      34     0.000     0.000     0.000       NaN
      35     0.000     0.000     0.000       NaN
      36     0.000     0.000     0.000       NaN
      37     0.000     0.000     0.000       NaN
      38     0.000     0.000     0.000       NaN
      39     0.000     0.000     0.000       NaN
      40     0.000     0.000     0.000       NaN
      41     0.000     0.000     0.000       NaN
      42     0.000     0.000     0.000       NaN
      43     0.000     0.000     0.000       NaN
      44     0.000     0.000     0.000       NaN
      45     0.000     0.000     0.000       NaN
      46     0.000     0.000     0.000       NaN
      47     0.000     0.000     0.000       NaN
